id,year,majortopic,subtopic,description,filter_eu,var2,var3,var5,day,month,var15,var17,var18,var98_questionname,calendar_year,var14
1898,2008,12,1200,Om politiets sprogbrug over for borgerne og om sagsbehandlingstid ved konkurssager under finanskrisen.,0,82,820061,6,28,1,1/28/2009,1200,,,2009,1/28/2009
1902,2008,3,399,Om standardiseret tilmelding til Donorregistret.,0,82,820065,14,28,1,1/28/2009,399,,,2009,1/28/2009
1900,2008,12,1210,Om øget hjælp til voldtægtsofre.,0,82,820063,6,28,1,1/28/2009,1210,,,2009,1/28/2009
1905,2008,3,322,Om placeringen af et nordjysk sygehus.,0,82,820068,14,28,1,1/28/2009,322,,,2009,1/28/2009
1903,2008,3,300,Om centralisering af sygehusområdet.,0,82,820066,14,28,1,1/28/2009,300,,,2009,1/28/2009
1896,2008,12,1201,Om at undersøge forløbet ved demonstrationen den 13. januar 2009 mod krigen i Gaza.,0,82,820059,6,28,1,1/28/2009,1201,,,2009,1/28/2009
1909,2008,6,601,Om at øge antallet af studerende på medicinstudiet.,0,82,820072,28,4,2,2/4/2009,601,,,2009,2/4/2009
1913,2008,19,1921,Om deltagelse i blokade af Gazastriben.,0,82,820076,2,4,2,2/4/2009,1920,,,2009,2/4/2009
1914,2008,19,1921,Om PMOI og NCRI og international kontrol med militære projekter i Iran.,0,82,820077,2,4,2,2/4/2009,1920,,,2009,2/4/2009
1911,2008,19,1921,Om erstatningsansvar for krigsødelæggelser i Gaza.,0,82,820074,2,4,2,2/4/2009,1920,,,2009,2/4/2009
1907,2008,6,600,Om besparelser på STÅ-bevillingen for 2009.,0,82,820070,28,4,2,2/4/2009,600,,,2009,2/4/2009
1912,2008,19,1921,Om prioriteringer i forbindelse med åbning af grænserne i Gaza.,0,82,820075,2,4,2,2/4/2009,1920,,,2009,2/4/2009
1908,2008,6,601,Om nedskæring af SU for studerende på de videregående uddannelser.,0,82,820071,28,4,2,2/4/2009,601,,,2009,2/4/2009
1906,2008,17,1709,Om målsætning for grøn it.,0,82,820069,28,4,2,2/4/2009,1709,,,2009,2/4/2009
1910,2008,17,1799,Om indskrænkning af forskningsfriheden.,0,82,820073,28,4,2,2/4/2009,1799,,,2009,2/4/2009
1915,2008,19,1921,Om Israels brug af militær magt i Gaza.,0,82,820078,2,4,2,2/4/2009,1920,,,2009,2/4/2009
1921,2008,1,107,Om skattereformen er socialt afbalanceret.,0,82,820084,1,25,2,2/25/2009,107,,,2009,2/25/2009
1918,2008,13,1302,Om skattereformen skaber ulighed.,0,82,820081,1,25,2,2/25/2009,1302,,,2009,2/25/2009
1920,2008,1,107,Om retfærdigheden i regeringens skatteudspil.,0,82,820083,1,25,2,2/25/2009,107,,,2009,2/25/2009
1916,2008,7,700,Om regeringens grønne politik.,0,82,820079,1,25,2,2/25/2009,700,,,2009,2/25/2009
1917,2008,5,500,Om ambitionsniveauet i forhold til at øge arbejdsudbuddet.,0,82,820080,1,25,2,2/25/2009,500,,,2009,2/25/2009
1922,2008,5,500,Om skattereformens beskæftigelseseffekt.,0,82,820085,1,25,2,2/25/2009,500,,,2009,2/25/2009
1923,2008,7,705,Om miljøvenlig transport under klimatopmøde i København.,0,82,820086,1,25,2,2/25/2009,705,,,2009,2/25/2009
1919,2008,1,107,Om regeringens skatteudspil er socialt afbalanceret.,0,82,820082,1,25,2,2/25/2009,107,,,2009,2/25/2009
1924,2008,1,107,Om finansiering af skattereformen.,0,82,820087,1,25,2,2/25/2009,107,,,2009,2/25/2009
1927,2008,1,105,"Om, at Danmark bliver gældsat.",0,82,820090,23,11,3,3/11/2009,105,,,2009,3/11/2009
1929,2008,12,1206,"Om, hvordan det undgås, at unge bliver involveret i kriminalitet.",0,82,820092,38,11,3,3/11/2009,1206,,,2009,3/11/2009
1930,2008,12,1211,Om at styrke den kriminalpræventive indsats i København.,0,82,820093,38,11,3,3/11/2009,1211,,,2009,3/11/2009
1933,2008,2,202,Om forskellen på mænds og kvinders livsindtægt.,0,82,820096,33,11,3,3/11/2009,202,,,2009,3/11/2009
1931,2008,14,1408,Om at opføre flere almene boliger.,0,82,820094,38,11,3,3/11/2009,1408,,,2009,3/11/2009
1926,2008,1,107,Om skattelettelser i stedet for offentlige investeringer.,0,82,820089,23,11,3,3/11/2009,107,,,2009,3/11/2009
1925,2008,13,1300,Om skattereformen har en retfærdig social profil.,0,82,820088,23,11,3,3/11/2009,1300,,,2009,3/11/2009
1928,2008,13,1300,Om skattereformen skaber mere eller mindre ulighed.,0,82,820091,23,11,3,3/11/2009,1300,,,2009,3/11/2009
1932,2008,12,1206,Om at forbedre den sociale indsats på Nørrebro.,0,82,820095,38,11,3,3/11/2009,1206,,,2009,3/11/2009
1934,2008,2,209,Om deadline for PET-kommissionens rapport om Blekingegadesagen.,0,82,820097,6,18,3,3/18/2009,209,,,2009,3/18/2009
1941,2008,7,705,Om at finansiere skattelettelser ved hjælp af CO2-indtægter.,0,82,820104,37,18,3,3/18/2009,705,,,2009,3/18/2009
1942,2008,19,1901,"Om at sikre, at løfter til udviklingslandene afgivet ved topmødet i København overholdes.",0,82,820105,37,18,3,3/18/2009,1901,,,2009,3/18/2009
1938,2008,8,807,Om en målrettet indsats til energirenovering og byggeri.,0,82,820101,37,18,3,3/18/2009,807,,,2009,3/18/2009
1940,2008,7,705,Om at bruge salg af CO2-kvoter til finansiering af skattelettelser.,0,82,820103,37,18,3,3/18/2009,705,,,2009,3/18/2009
1935,2008,19,1929,Om at genetablere grænsekontrol i Danmark.,0,82,820098,6,18,3,3/18/2009,1929,,,2009,3/18/2009
1936,2008,12,1201,Om mere synligt politi på Nørrebro under bandekonflikten.,0,82,820099,6,18,3,3/18/2009,1201,,,2009,3/18/2009
1939,2008,8,899,Om tilskud til renoveringsarbejder giver lavere energiforbrug.,0,82,820102,37,18,3,3/18/2009,899,,,2009,3/18/2009
1937,2008,12,1206,Om at sætte den kriminelle lavalder ned til 12 år.,0,82,820100,6,18,3,3/18/2009,1206,,,2009,3/18/2009
1948,2008,9,900,Om en årlig opsamling på integrationsindsatsen.,0,82,820111,32,25,3,3/25/2009,900,,,2009,3/25/2009
1943,2008,6,604,Om besparelser pålagt erhvervsskolerne.,0,82,820106,15,25,3,3/25/2009,604,,,2009,3/25/2009
1950,2008,2,207,Om sagsbehandlingen vedrørende fyring af præst.,0,82,820113,11,25,3,3/25/2009,210,,,2009,3/25/2009
1947,2008,9,900,Om praksis for tilkendelse af opholdstilladelse til børn af herboende forældre.,0,82,820110,32,25,3,3/25/2009,900,,,2009,3/25/2009
1945,2008,6,604,"Om, hvor der skal laves besparelser på erhvervsskolerne.",0,82,820108,15,25,3,3/25/2009,604,,,2009,3/25/2009
1949,2008,2,207,Om Metroselskabets udgravningsarbejde ved Marmorkirken.,0,82,820112,11,25,3,3/25/2009,210,,,2009,3/25/2009
1946,2008,9,900,"Om integration af unge, så de ikke ender i bandekriminalitet.",0,82,820109,32,25,3,3/25/2009,900,,,2009,3/25/2009
1944,2008,6,602,Om fredagsbøn i folkeskolen.,0,82,820107,15,25,3,3/25/2009,602,,,2009,3/25/2009
1952,2008,16,1600,Om at bevare værnepligten.,0,82,820115,8,1,4,4/1/2009,1600,,,2009,4/1/2009
1957,2008,7,711,Om prioriteringen af tiltag for landdistrikterne i Grøn Vækst.,0,82,820120,16,1,4,4/1/2009,407,,,2009,4/1/2009
1955,2008,4,403,Om kontrol med og øget liberalisering af medicinanvendelse inden for svineproduktion.,0,82,820118,16,1,4,4/1/2009,403,,,2009,4/1/2009
1951,2008,16,1608,Om en flagdag for danske soldater.,0,82,820114,8,1,4,4/1/2009,1608,,,2009,4/1/2009
1958,2008,7,711,Om vækst i industrilandbruget går forud for miljøet.,0,82,820121,16,1,4,4/1/2009,407,,,2009,4/1/2009
1954,2008,21,2105,Om overvågning af det grønlandske territorium.,0,82,820117,8,1,4,4/1/2009,2105,,,2009,4/1/2009
1956,2008,4,403,Om forbrugerinformation om naturelmarineret kyllingekød.,0,82,820119,16,1,4,4/1/2009,403,,,2009,4/1/2009
1959,2008,4,499,Om afvikling af fleks- og merarbejde i Fødevarestyrelsen.,0,82,820122,16,1,4,4/1/2009,499,,,2009,4/1/2009
1953,2008,16,1600,Om den lovmæssige hjemmel for værnepligten.,0,82,820116,8,1,4,4/1/2009,1600,,,2009,4/1/2009
1966,2008,1,107,"Om garanti for, at ingen taber på skattereformen.",0,82,820129,23,22,4,4/22/2009,107,,,2009,4/22/2009
1962,2008,2,201,Om zionisme sidestilles med racisme i Durban I-dokumentet.,0,82,820125,2,22,4,4/22/2009,201,,,2009,4/22/2009
1967,2008,7,705,Om afgift på kvælstof m.m. for at nedsætte udledningen af drivhusgasser.,0,82,820130,23,22,4,4/22/2009,705,,,2009,4/22/2009
1963,2008,2,202,Om ligestillingsmæssige konsekvenser i skattereformen.,0,82,820126,23,22,4,4/22/2009,202,,,2009,4/22/2009
1965,2008,13,1302,Om regeringen går ind for stigende ulighed.,0,82,820128,23,22,4,4/22/2009,1302,,,2009,4/22/2009
1960,2008,19,1921,Om situationen på Sri Lanka.,0,82,820123,2,22,4,4/22/2009,1919,,,2009,4/22/2009
1964,2008,15,1507,Om frasalg af aktiver ved konkurser.,0,82,820127,23,22,4,4/22/2009,1507,,,2009,4/22/2009
1961,2008,2,201,Om regeringens holdning til Durban II-dokumentet.,0,82,820124,2,22,4,4/22/2009,201,,,2009,4/22/2009
1971,2008,8,806,Om udbygningen af vindkraft er gået i stå.,0,82,820134,3,29,4,4/29/2009,806,,,2009,4/29/2009
1969,2008,1,105,Om budgetnedskæringer på skoleområdet og ældreområdet.,0,82,820132,3,29,4,4/29/2009,105,,,2009,4/29/2009
1973,2008,6,600,Om at styrke eliten i uddannelsessystemet.,0,82,820136,15,29,4,4/29/2009,600,,,2009,4/29/2009
1972,2008,13,1308,Om at afskaffe lukkedage og lukkeuger på daginstitutioner.,0,82,820135,3,29,4,4/29/2009,1308,,,2009,4/29/2009
1968,2008,13,1308,Om at afskaffe lukkedage i daginstitutioner.,0,82,820131,3,29,4,4/29/2009,1308,,,2009,4/29/2009
1975,2008,6,602,Om seksualundervisningen i folkeskolen.,0,82,820138,15,29,4,4/29/2009,602,,,2009,4/29/2009
1974,2008,6,602,Om holddannelse i folkeskolen.,0,82,820137,15,29,4,4/29/2009,602,,,2009,4/29/2009
1970,2008,5,500,Om initiativer til at øge beskæftigelsen.,0,82,820133,3,29,4,4/29/2009,500,,,2009,4/29/2009
1980,2008,7,711,Om afbrænding af husdyrgødning til grøn energi.,0,82,820143,16,6,5,5/6/2009,407,,,2009,5/6/2009
1976,2008,4,402,Om hjemtagning af EU-midler til finansiering af grøn vækst.,1,82,820139,16,6,5,5/6/2009,402,,,2009,5/6/2009
1978,2008,4,400,Om en mere værdiskabende fødevareindustri.,0,82,820141,16,6,5,5/6/2009,400,,,2009,5/6/2009
1977,2008,4,402,Om øget omlægning til økologisk landbrug.,0,82,820140,16,6,5,5/6/2009,402,,,2009,5/6/2009
1979,2008,7,711,Om landbrugets CO2-reduktion.,0,82,820142,16,6,5,5/6/2009,407,,,2009,5/6/2009
1981,2008,7,704,"Om, at fristen for landbrugets reduktion af sprøjtemidler udskydes.",0,82,820144,9,6,5,5/6/2009,704,,,2009,5/6/2009
1982,2008,7,704,Om kravene til reduktion af pesticidsprøjtning er blevet mindre.,0,82,820145,9,6,5,5/6/2009,704,,,2009,5/6/2009
1986,2008,20,2004,Om større frihed i arbejdstilrettelæggelsen for offentligt ansatte.,0,82,820149,13,13,5,5/13/2009,2004,,,2009,5/13/2009
1984,2008,18,1803,Om at stimulere og hjælpe virksomheders eksportaktiviteter.,0,82,820147,13,13,5,5/13/2009,1803,,,2009,5/13/2009
1985,2008,3,322,Om at sænke privathospitalers afregningstakster.,0,82,820148,13,13,5,5/13/2009,322,,,2009,5/13/2009
1991,2008,20,2002,Om øget bureaukrati i den offentlige forvaltning.,0,82,820154,13,13,5,5/13/2009,2002,,,2009,5/13/2009
1989,2008,3,301,Om konsekvenser af overpris for behandling på privathospitaler.,0,82,820152,13,13,5,5/13/2009,301,,,2009,5/13/2009
1992,2008,6,600,Om at give uddannelsesinstitutioner frihed til selv at vælge eksamensformer.,0,82,820155,28,13,5,5/13/2009,600,,,2009,5/13/2009
1987,2008,1,100,"Om, hvad regeringen vil gøre ved den stigende arbejdsløshed, og om der kommer flere bankpakker.",0,82,820150,13,13,5,5/13/2009,100,,,2009,5/13/2009
1988,2008,13,1300,Om ansvaret for velfærdssamfundets udvikling og fremtid.,0,82,820151,13,13,5,5/13/2009,1300,,,2009,5/13/2009
1983,2008,20,2000,Om vilkårene for den offentlige sektor.,0,82,820146,13,13,5,5/13/2009,2000,,,2009,5/13/2009
1990,2008,20,2000,Om valgfrihed mellem private og offentlige leverandører i den offentlige sektor.,0,82,820153,13,13,5,5/13/2009,2000,,,2009,5/13/2009
1995,2009,4,403,Om ressourcer i forbindelse med fødevarekontrol i forretninger.,0,83,830003,16,7,10,10/7/2009,403,,,2009,10/7/2009
1994,2009,4,403,Om sammenhængen mellem viden om og anvendelse af genmodificerede afgrøder.,0,83,830002,16,7,10,10/7/2009,403,,,2009,10/7/2009
1993,2009,4,408,Om hjemtagning af EU's fiskerifondsmidler.,1,83,830001,16,7,10,10/7/2009,408,,,2009,10/7/2009
2001,2009,19,1902,Om en aftale i forbindelse med klimatopmødet og klimafinansiering til ulandene.,0,83,830009,1,21,10,10/21/2009,1902,,,2009,10/21/2009
1998,2009,2,208,Om betaling til private hospitaler og udlevering af oplysninger.,0,83,830006,1,21,10,10/21/2009,208,,,2009,10/21/2009
1999,2009,19,1902,Om klimatopmødet og finansieringen af ulandenes indsats.,0,83,830007,1,21,10,10/21/2009,1902,,,2009,10/21/2009
2000,2009,7,705,Om forholdet mellem Statsministeriet og Klimaministeriet og køb af udledningstilladelser.,0,83,830008,1,21,10,10/21/2009,705,,,2009,10/21/2009
1996,2009,19,1902,Om klimatopmødet i København og en klimafond.,0,83,830004,1,21,10,10/21/2009,1902,,,2009,10/21/2009
1997,2009,3,322,Om priser på ydelser hos private sygehuse.,0,83,830005,1,21,10,10/21/2009,322,,,2009,10/21/2009
2003,2009,13,1300,Om centralisering af velfærdsydelser.,0,83,830011,1,4,11,11/4/2009,1300,,,2009,11/4/2009
2005,2009,19,1910,Om tidspunkt for en folkeafstemning om EU-forbeholdene.,1,83,830013,1,4,11,11/4/2009,1910,,,2009,11/4/2009
2006,2009,20,2001,"Om den økonomi, der er til rådighed for kommunerne.",0,83,830014,1,4,11,11/4/2009,2001,,,2009,11/4/2009
2008,2009,7,703,Om problemer med affaldshentning i hovedstadsområdet.,0,83,830016,1,4,11,11/4/2009,703,,,2009,11/4/2009
2004,2009,2,207,Om ringning med kirkeklokker i forbindelse med klimakonferencen i København.,0,83,830012,1,4,11,11/4/2009,210,,,2009,11/4/2009
2007,2009,20,2001,Om sænkning af omkostningsniveauet til løsning af opgaver i kommunerne.,0,83,830015,1,4,11,11/4/2009,2001,,,2009,11/4/2009
2002,2009,19,1910,Om statsministerens planer om en afstemning om de fire EU-forbehold.,1,83,830010,1,4,11,11/4/2009,1910,,,2009,11/4/2009
2011,2009,1,100,Om regeringens planer om vækstinitiativer.,0,83,830019,1,11,11,11/11/2009,100,,,2009,11/11/2009
2012,2009,10,1000,Om brud på trafikforliget.,0,83,830020,1,11,11,11/11/2009,1000,,,2009,11/11/2009
2014,2009,1,100,Om regeringens planer om vækstinitiativer.,0,83,830022,1,11,11,11/11/2009,100,,,2009,11/11/2009
2015,2009,20,2001,Om en øgning af kommunernes låneramme til renoveringer.,0,83,830023,1,11,11,11/11/2009,2001,,,2009,11/11/2009
2013,2009,1,100,Om behov for en vækstpakke.,0,83,830021,1,11,11,11/11/2009,100,,,2009,11/11/2009
2009,2009,1,100,Om regeringens planer om en grøn vækst-pakke.,0,83,830017,1,11,11,11/11/2009,100,,,2009,11/11/2009
2010,2009,7,703,Om privatisering af offentlige opgaver og skraldekonflikten i Københavnsområdet.,0,83,830018,1,11,11,11/11/2009,703,,,2009,11/11/2009
2018,2009,19,1902,Om indholdet af en aftale på klimatopmødet i København.,0,83,830026,37,18,11,11/18/2009,1902,,,2009,11/18/2009
2016,2009,7,798,Om bevilling på finansloven til Copenhagen Consensus.,0,83,830024,37,18,11,11/18/2009,798,,,2009,11/18/2009
2017,2009,19,1921,Om Taiwans deltagelse i klimakonferencen i København.,0,83,830025,37,18,11,11/18/2009,1907,,,2009,11/18/2009
2021,2009,7,711,Om miljøgodkendelser i landbruget.,0,83,830029,9,25,11,11/25/2009,407,,,2009,11/25/2009
2020,2009,4,400,Om ventetider på miljøgodkendelser til landmænd.,0,83,830028,9,25,11,11/25/2009,400,,,2009,11/25/2009
2019,2009,7,700,Om udviklingen i behandlingstiden for miljøgodkendelser.,0,83,830027,9,25,11,11/25/2009,700,,,2009,11/25/2009
2022,2009,3,301,Om en sænkning af privathospitalernes betaling for behandlinger.,0,83,830030,13,2,12,12/2/2009,301,,,2009,12/2/2009
2028,2009,3,300,Om ministerens holdning til udbud på sundhedsområdet.,0,83,830036,13,2,12,12/2/2009,300,,,2009,12/2/2009
2029,2009,3,323,Om betalingen til privathospitalerne.,0,83,830037,13,2,12,12/2/2009,323,,,2009,12/2/2009
2030,2009,15,1501,Om udbetaling af bonusser i banker.,0,83,830038,13,2,12,12/2/2009,1501,,,2009,12/2/2009
2031,2009,19,1929,Om udlevering af dansk statsborger til retsforfølgelse i USA.,0,83,830039,6,2,12,12/2/2009,1929,,,2009,12/2/2009
2023,2009,3,323,Om betalingen til privathospitaler.,0,83,830031,13,2,12,12/2/2009,323,,,2009,12/2/2009
2025,2009,15,1501,Om statens ejerskab af banker i forbindelse med finanskrisen.,0,83,830033,13,2,12,12/2/2009,1501,,,2009,12/2/2009
2027,2009,3,323,Om Rigsrevisionens beretning om private sygehuse og Konkurrencestyrelsens opfølgning.,0,83,830035,13,2,12,12/2/2009,323,,,2009,12/2/2009
2033,2009,12,1299,Om kvindehandel og prostitution i forbindelse med klimatopmødet.,0,83,830041,6,2,12,12/2/2009,1299,,,2009,12/2/2009
2032,2009,3,342,Om dopingkontrol i motions- og fitnesscentre.,0,83,830040,6,2,12,12/2/2009,342,,,2009,12/2/2009
2024,2009,3,323,Om betalingen til privathospitaler.,0,83,830032,13,2,12,12/2/2009,323,,,2009,12/2/2009
2026,2009,15,1501,Om bonus- og optionsordninger i banker.,0,83,830034,13,2,12,12/2/2009,1501,,,2009,12/2/2009
2040,2009,9,900,Om psykiske problemer hos børn på asylcentre.,0,83,830048,32,13,1,1/13/2010,900,,,2010,1/13/2010
2036,2009,3,322,Om ambulanceberedskabet.,0,83,830044,14,13,1,1/13/2010,322,,,2010,1/13/2010
2041,2009,9,900,Om asylansøgeres mulighed for at bo i egen bolig.,0,83,830049,32,13,1,1/13/2010,900,,,2010,1/13/2010
2037,2009,3,325,Om afskedigelser på sygehuse.,0,83,830045,14,13,1,1/13/2010,325,,,2010,1/13/2010
2035,2009,3,322,Om besparelser på sygehuse.,0,83,830043,14,13,1,1/13/2010,322,,,2010,1/13/2010
2038,2009,9,900,Om regeringens plan vedrørende radikalisering.,0,83,830046,32,13,1,1/13/2010,900,,,2010,1/13/2010
2034,2009,3,301,Om nedskæringerne på sygehuse.,0,83,830042,14,13,1,1/13/2010,301,,,2010,1/13/2010
2039,2009,9,900,Om psykiske problemer hos irakiske børn på asylcentre.,0,83,830047,32,13,1,1/13/2010,900,,,2010,1/13/2010
2046,2009,1,100,Om regeringens politik på det økonomiske område.,0,83,830054,1,20,1,1/20/2010,100,,,2010,1/20/2010
2048,2009,3,300,Om penge til sundhedsvæsenet.,0,83,830056,1,20,1,1/20/2010,300,,,2010,1/20/2010
2047,2009,3,300,Om regionernes sundhedsudgifter.,0,83,830055,1,20,1,1/20/2010,300,,,2010,1/20/2010
2045,2009,3,300,Om de økonomiske rammer på sygehusene.,0,83,830053,1,20,1,1/20/2010,300,,,2010,1/20/2010
2043,2009,3,325,Om fyringer på hospitaler.,0,83,830051,1,20,1,1/20/2010,325,,,2010,1/20/2010
2044,2009,3,325,Om fyringer på sygehuse.,0,83,830052,1,20,1,1/20/2010,325,,,2010,1/20/2010
2042,2009,3,325,Om fyringer på hospitaler.,0,83,830050,1,20,1,1/20/2010,325,,,2010,1/20/2010
2050,2009,19,1905,Om spørgsmål om befolkningsudvikling og kvinders ligestilling i forbindelse med klimatopmødet.,0,83,830058,29,27,1,1/27/2010,1905,,,2010,1/27/2010
2051,2009,19,1901,Om klimabistand og ulandsbistand.,0,83,830059,29,27,1,1/27/2010,1901,,,2010,1/27/2010
2049,2009,19,1921,Om ulovligt fiskeri ud for Somalia.,0,83,830057,29,27,1,1/27/2010,1911,,,2010,1/27/2010
2057,2009,20,2001,Om kommunernes opkrævning af skattetilgodehavender.,0,83,830065,23,3,2,2/3/2010,2016,,,2010,2/3/2010
2054,2009,17,1707,Om multimedieskatten.,0,83,830062,23,3,2,2/3/2010,1707,,,2010,2/3/2010
2052,2009,1,107,Om energiafgifter i forbindelse med forårspakke 2.0.,0,83,830060,23,3,2,2/3/2010,107,,,2010,2/3/2010
2055,2009,1,107,Om udligningsskatten.,0,83,830063,23,3,2,2/3/2010,107,,,2010,2/3/2010
2056,2009,17,1707,Om multimedieskatten.,0,83,830064,23,3,2,2/3/2010,1707,,,2010,2/3/2010
2053,2009,1,107,Om udveksling af skatteoplysninger mellem lande.,0,83,830061,23,3,2,2/3/2010,107,,,2010,2/3/2010
2058,2009,17,1707,Om multimedieskatten.,0,83,830066,23,3,2,2/3/2010,1707,,,2010,2/3/2010
2059,2009,13,1303,Om beskatning af pensionister.,0,83,830067,23,3,2,2/3/2010,1303,,,2010,2/3/2010
2062,2009,6,600,Om praktikpladser.,0,83,830070,15,10,2,2/10/2010,600,,,2010,2/10/2010
2065,2009,6,602,Om ungdomsuddannelse.,0,83,830073,15,10,2,2/10/2010,602,,,2010,2/10/2010
2067,2009,10,1002,Om trafikinvesteringer i grænselandet.,0,83,830075,18,10,2,2/10/2010,1002,,,2010,2/10/2010
2063,2009,6,602,Om Skolerådets rapport.,0,83,830071,15,10,2,2/10/2010,602,,,2010,2/10/2010
2066,2009,10,1001,Om billetpriser i den kollektive trafik.,0,83,830074,18,10,2,2/10/2010,1001,,,2010,2/10/2010
2061,2009,6,602,Om måling af elevers sociale kompetencer.,0,83,830069,15,10,2,2/10/2010,602,,,2010,2/10/2010
2060,2009,6,602,Om rullende klasseskift i folkeskolen.,0,83,830068,15,10,2,2/10/2010,602,,,2010,2/10/2010
2064,2009,6,602,Om it-færdigheder i folkeskolen.,0,83,830072,15,10,2,2/10/2010,602,,,2010,2/10/2010
2069,2009,9,900,Om dagtilbud til børn af indvandrere.,0,83,830077,32,24,2,2/24/2010,900,,,2010,2/24/2010
2068,2009,9,900,Om regeringens ghettoindsats.,0,83,830076,32,24,2,2/24/2010,900,,,2010,2/24/2010
2070,2009,2,207,Om regeringens holdning til folkekirken i spørgsmål om ligestilling.,0,83,830078,11,24,2,2/24/2010,210,,,2010,2/24/2010
2076,2009,8,803,Om skrotningsordning for oliefyr.,0,83,830084,37,3,3,3/3/2010,803,,,2010,3/3/2010
2073,2009,8,806,Om CEPOS' beregninger af vindenergi.,0,83,830081,37,3,3,3/3/2010,806,,,2010,3/3/2010
2077,2009,2,202,Om kvinders repræsentation i lederstillinger.,0,83,830085,33,3,3,3/3/2010,202,,,2010,3/3/2010
2072,2009,1,105,Om nulvækst i de offentlige udgifter.,0,83,830080,13,3,3,3/3/2010,105,,,2010,3/3/2010
2075,2009,8,806,Om CEPOS' rapport om vindenergi.,0,83,830083,37,3,3,3/3/2010,806,,,2010,3/3/2010
2074,2009,8,806,Om bygning af havvindmøller ved Kriegers Flak.,0,83,830082,37,3,3,3/3/2010,806,,,2010,3/3/2010
2071,2009,13,1399,Om unges gældssætning.,0,83,830079,13,3,3,3/3/2010,1399,,,2010,3/3/2010
2081,2009,9,900,Om den nye aftale på udlændingeområdet og valgret.,0,83,830089,32,17,3,3/17/2010,900,,,2010,3/17/2010
2084,2009,9,900,Om den nye udlændingeaftale og rejser tilbage til hjemlandet.,0,83,830092,32,17,3,3/17/2010,900,,,2010,3/17/2010
2085,2009,2,207,Om registrering af par i kirken.,0,83,830093,11,17,3,3/17/2010,210,,,2010,3/17/2010
2082,2009,9,900,Om opgørelse af antal elever med anden etnisk baggrund i folkeskolen.,0,83,830090,32,17,3,3/17/2010,900,,,2010,3/17/2010
2079,2009,9,900,Om den nye aftale på udlændinge- og integrationsområdet.,0,83,830087,32,17,3,3/17/2010,900,,,2010,3/17/2010
2080,2009,9,900,Om den nye udlændingeaftale og opholdstilladelse.,0,83,830088,32,17,3,3/17/2010,900,,,2010,3/17/2010
2078,2009,9,900,Om den nye aftale på flygtninge- og integrationsområdet.,0,83,830086,32,17,3,3/17/2010,900,,,2010,3/17/2010
2086,2009,2,207,Om neutrale urnebegravelsespladser.,0,83,830094,11,17,3,3/17/2010,210,,,2010,3/17/2010
2083,2009,9,900,Om den nye udlændingeaftale.,0,83,830091,32,17,3,3/17/2010,900,,,2010,3/17/2010
2092,2009,7,704,Om afgifter på spildevand og pesticider.,0,83,830100,9,24,3,3/24/2010,704,,,2010,3/24/2010
2087,2009,1,107,Om udenlandske firmaer og betaling af moms.,0,83,830095,23,24,3,3/24/2010,107,,,2010,3/24/2010
2091,2009,7,705,Om luftforurening.,0,83,830099,9,24,3,3/24/2010,705,,,2010,3/24/2010
2090,2009,7,700,"Om vandmiljøplanen og ""Grøn Vækst"".",0,83,830098,9,24,3,3/24/2010,700,,,2010,3/24/2010
2088,2009,20,2009,Om bestikkelse af medarbejdere i SKAT.,0,83,830096,23,24,3,3/24/2010,2009,,,2010,3/24/2010
2089,2009,7,711,Om indfasning af vandmiljøhandlingsplanen.,0,83,830097,9,24,3,3/24/2010,711,,,2010,3/24/2010
2096,2009,2,207,Om en skærpelse af lovgivningen vedrørende burkaer.,0,83,830104,6,7,4,4/7/2010,207,,,2010,4/7/2010
2098,2009,13,1302,Om kontanthjælpsmodtageres problemer med at betale udgifter.,0,83,830106,4,7,4,4/7/2010,1302,,,2010,4/7/2010
2095,2009,12,1207,Om sexmisbrug af børn i den katolske kirke.,0,83,830103,6,7,4,4/7/2010,1207,,,2010,4/7/2010
2097,2009,12,1207,Om overgreb mod børn i den katolske kirke.,0,83,830105,6,7,4,4/7/2010,1207,,,2010,4/7/2010
2094,2009,12,1201,Om døgnbemandede politistationer.,0,83,830102,6,7,4,4/7/2010,1201,,,2010,4/7/2010
2099,2009,5,502,Om jobfirmaer.,0,83,830107,4,7,4,4/7/2010,502,,,2010,4/7/2010
2093,2009,12,1200,Om politiets narkoindsats og sagsbehandlingstider ved domstolene.,0,83,830101,6,7,4,4/7/2010,1200,,,2010,4/7/2010
2100,2009,5,502,Om aktivering af ledige på deres tidligere arbejdsplads.,0,83,830108,4,7,4,4/7/2010,502,,,2010,4/7/2010
2102,2009,20,2001,Om nedskæringer i kommunerne.,0,83,830110,1,14,4,4/14/2010,2001,,,2010,4/14/2010
2106,2009,19,1902,Om afbud til det arktiske topmøde.,0,83,830114,1,14,4,4/14/2010,1902,,,2010,4/14/2010
2101,2009,20,2001,Om besparelser i kommunerne.,0,83,830109,1,14,4,4/14/2010,2001,,,2010,4/14/2010
2107,2009,21,2105,Om den arktiske sag og det arktiske møde.,0,83,830115,1,14,4,4/14/2010,2105,,,2010,4/14/2010
2103,2009,7,705,Om en klimaaftale.,0,83,830111,1,14,4,4/14/2010,705,,,2010,4/14/2010
2105,2009,13,1303,Om særskat for pensionister.,0,83,830113,1,14,4,4/14/2010,1303,,,2010,4/14/2010
